"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31203136101,3136101,306,"Dawson",3,"Queensland",20.1717
31203136102,3136102,306,"Dawson",3,"Queensland",18.827
31203136103,3136103,306,"Dawson",3,"Queensland",60.2566
31203136104,3136104,306,"Dawson",3,"Queensland",15.8905
31203136105,3136105,306,"Dawson",3,"Queensland",55.5939
31203136106,3136106,306,"Dawson",3,"Queensland",7.9584
31203136107,3136107,306,"Dawson",3,"Queensland",16.7179
31203136108,3136108,306,"Dawson",3,"Queensland",950.1952
31203136109,3136109,306,"Dawson",3,"Queensland",0.8394
31203136110,3136110,306,"Dawson",3,"Queensland",0.4797
31203136111,3136111,306,"Dawson",3,"Queensland",24.85
31203136112,3136112,306,"Dawson",3,"Queensland",532.4417
31203136113,3136113,306,"Dawson",3,"Queensland",3.369
31203136114,3136114,306,"Dawson",3,"Queensland",0.4072
31203136115,3136115,306,"Dawson",3,"Queensland",0.2293
31203136116,3136116,306,"Dawson",3,"Queensland",0.2657
31203136117,3136117,306,"Dawson",3,"Queensland",0.1853
31203136118,3136118,306,"Dawson",3,"Queensland",0.1614
31203136119,3136119,306,"Dawson",3,"Queensland",0.2369
31203136120,3136120,306,"Dawson",3,"Queensland",0.1603
31203136121,3136121,306,"Dawson",3,"Queensland",0.4814
31203136122,3136122,306,"Dawson",3,"Queensland",193.2453
31203136123,3136123,306,"Dawson",3,"Queensland",171.6868
31301136201,3136201,320,"Longman",3,"Queensland",3.8654
31301136202,3136202,320,"Longman",3,"Queensland",0.7205
31301136203,3136203,320,"Longman",3,"Queensland",1.0017
31301136204,3136204,320,"Longman",3,"Queensland",3.2816
31301136205,3136205,320,"Longman",3,"Queensland",0.6671
31301136206,3136206,320,"Longman",3,"Queensland",0.4046
31301136207,3136207,320,"Longman",3,"Queensland",15.9036
31301136208,3136208,320,"Longman",3,"Queensland",0.5964
31301136209,3136209,320,"Longman",3,"Queensland",23.4908
31301136210,3136210,320,"Longman",3,"Queensland",0.2653
31301136211,3136211,320,"Longman",3,"Queensland",0.4997
31301136212,3136212,320,"Longman",3,"Queensland",0.7644
31301136213,3136213,320,"Longman",3,"Queensland",8.3406
31301136214,3136214,320,"Longman",3,"Queensland",5.8529
31301136215,3136215,320,"Longman",3,"Queensland",1.7599
31301136216,3136216,320,"Longman",3,"Queensland",1.2651
31301136217,3136217,320,"Longman",3,"Queensland",0.2945
31301136218,3136218,320,"Longman",3,"Queensland",0.2337
31301136219,3136219,320,"Longman",3,"Queensland",0.7159
31301136220,3136220,320,"Longman",3,"Queensland",0.4823
31301136221,3136221,320,"Longman",3,"Queensland",0.6431
31301136222,3136222,320,"Longman",3,"Queensland",3.8861
31301136223,3136223,320,"Longman",3,"Queensland",0.2736
31301136224,3136224,320,"Longman",3,"Queensland",0.2291
31301136225,3136225,320,"Longman",3,"Queensland",0.1849
